State, County, FIPS, Total,,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,,,,,,,,,,,,,,
AL,Tuscaloosa,1125,0.666810764003899,,0.021997608993377,0.20472873430196,0.0379803811390525,0.000213329143893406,0.342532275255877,0,0.00923162596390769,0.0232053989200305,0.0269214102858009,,,,,,,,,,,,,,
AL,Walker,1127,2.21401561815613,,0.00571104172899313,0.00393999046599888,0.0168075754291304,2.04976982917253,0.116888683928312,0,0.00362332723093459,0.00910790218473625,0.00816726801549638,,,,,,,,,,,,,,
AL,Washington,1129,1.30838266411347,,0.000474713276680449,0.0290211368826065,0.00416699905281781,1.23601735169752,0.0353930344586551,0,0,0,0.0033094287451894,,,,,,,,,,,,,,
AL,Wilcox,1131,8.48590228902607,,0.000522306840806989,8.45187951647538,0.00316195434703144,0,0.024562878279473,0,0.000348696794321443,0.000876512841313424,0.00455042344774247,,,,,,,,,,,,,,
AL,Winston,1133,0.0678899477385318,,0.00148964341724037,0.0138730929372026,0.00576203943455589,0,0.0372524639355759,0,0.00109332763342635,0.00274827897276326,0.00567110140776746,,,,,,,,,,,,,,
AK,Aleutians East,2013,0.199637646204476,,0.00108628854208393,0.147636097383947,0.000834753176971677,0.0111078848689428,0.00455374350200555,0,0.00558247705623189,0.0275618498828499,0.0012745517914433,,,,,,,,,,,,,,
AK,Aleutians West,2016,0.299490191235118,,0.00457956968952448,0.258464415745334,0.00190601892265284,0.0166124128008385,0.00641003890457942,0,0.00160020841609022,0.00790056250169934,0.00201696425439881,,,,,,,,,,,,,,
AK,Anchorage,2020,1.92937020484383,,0.359552567902302,0.5718165248508,0.19049109869815,0.00143830269066261,0.262053173592035,0,0.0828851720849895,0.409221326040658,0.0519120389842362,,,,,,,,,,,,,,
AK,Bethel,2050,0.344295179011673,,0.0138776440123134,0.00919628888777419,0.00661333099966467,0.00757352904578966,0.0248603847228439,0,0.0468926249559327,0.231518638486918,0.00376273790043678,,,,,,,,,,,,,,
AK,Bristol Bay,2060,0.114230578578686,,0.00119147329787428,0.0095717575325961,0.000792651125734599,0,0.00208416692924922,0,0.0168413095653877,0.0831490469479389,0.000600173179904774,,,,,,,,,,,,,,
AK,Denali,2068,0.0360282105709175,,0.000622632981087377,0,0.00290397657006027,0.0239893541454509,0.00339626558514959,0,0.000771134155727484,0.00380724969026918,0.000537597443172685,,,,,,,,,,,,,,
AK,Dillingham,2070,0.2289039160355,,0.00461618839748617,0.0710832569982542,0.00256455390408038,0,0.00909958766014437,0,0.0236037981161117,0.116536858762929,0.00139967219649375,,,,,,,,,,,,,,
AK,Fairbanks North Star,2090,1.12046877376632,,0.0821353215113922,0.372849097419928,0.0670598090150408,0.356330630188265,0.0502078657922611,0,0.0301066494290931,0.148642787895042,0.0131366125153024,,,,,,,,,,,,,,
AK,Haines,2100,0.0368951419955663,,0.00141135905588559,0.000213894023074772,0.00124949813530672,0,0.00419181230362649,0,0.00494187214771541,0.0243990501041923,0.000487656225765034,,,,,,,,,,,,,,
AK,Juneau,2110,0.331425496032961,,0.0345534099532409,0.0141212637076323,0.0151711736612609,0.000509099613197638,0.0250711700261147,0,0.0400616719167096,0.197792803013405,0.00414490414139987,,,,,,,,,,,,,,
