USPS,FIPS,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                    
TN,47133,1639780,Overton County,1122714642,3500016,433.483,1.351,36.34485,-85.283076
TN,47135,1639781,Perry County,1074148474,21084076,414.731,8.141,35.659785,-87.877027
TN,47137,1648580,Pickett County,422113383,29822854,162.979,11.515,36.559364,-85.075741
TN,47139,1639782,Polk County,1125806416,19834205,434.676,7.658,35.109437,-84.541112
TN,47141,1639783,Putnam County,1038852585,3784351,401.103,1.461,36.140807,-85.496928
TN,47143,1639784,Rhea County,816822960,54463425,315.377,21.028,35.600587,-84.949552
TN,47145,1639785,Roane County,934229744,88755772,360.708,34.269,35.847472,-84.523861
TN,47147,1639786,Robertson County,1233577495,451694,476.287,0.174,36.52753,-86.869377
TN,47149,1639787,Rutherford County,1604145428,12143221,619.364,4.689,35.843369,-86.417213
TN,47151,1639788,Scott County,1378642788,2414259,532.297,0.932,36.437239,-84.498386
TN,47153,1652643,Sequatchie County,688567749,481448,265.858,0.186,35.372335,-85.410344
TN,47155,1639789,Sevier County,1534567408,13514945,592.5,5.218,35.791284,-83.521954
TN,47157,1639790,Shelby County,1976612450,56576401,763.174,21.844,35.183794,-89.895397
TN,47159,1639791,Smith County,814004493,28706391,314.289,11.084,36.25565,-85.942078
TN,47161,1639792,Stewart County,1189659929,87232255,459.33,33.681,36.511756,-87.851548
TN,47163,1639793,Sullivan County,1070605281,42330294,413.363,16.344,36.510212,-82.299397
TN,47165,1639794,Sumner County,1371267673,35658276,529.449,13.768,36.470015,-86.458517
TN,47167,1639795,Tipton County,1187161824,38714600,458.366,14.948,35.500297,-89.763708
TN,47169,1648581,Trousdale County,295758787,6345335,114.193,2.45,36.39303,-86.156691
TN,47171,1648582,Unicoi County,482165202,850686,186.165,0.328,36.100215,-82.418245
TN,47173,1648583,Union County,578990181,61092965,223.549,23.588,36.28414,-83.836088
TN,47175,1648584,Van Buren County,708142475,2893424,273.415,1.117,35.699245,-85.458411
TN,47177,1639796,Warren County,1120635730,3508343,432.68,1.355,35.678282,-85.777363
TN,47179,1639797,Washington County,845539916,8632655,326.465,3.333,36.295665,-82.495037
